"id","ingredient_name","dm_g","energy_kcal","protein_g","fat_g","ash_g","cho_g","fiber_g","calcium_mg","iron_mg","water_g","phosphorus_mg","potassium_mg","sodium_mg","zinc_mg","copper_mg","iodine_mg","selenium_mg","thiamin_mg","riboflavin_mg","niacin_mg","pantothenic_acid_mg","vitamin_b6_mg","folate_ug","choline_mg","vitamin_b12_ug","vitamin_a_iu","vitamin_e_mg","vitamin_d_iu","pufa_18_2_g","pufa_18_3_g","pufa_20_5_g","pufa_22_6_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","magnesium_mg"
1,"boiled egg","25.4","610.236","49.606","41.732","4.252","4.409","0","196.85","4.685","74.6","677.165","496.063","488.189","4.134","0.051","0.0","0.121","0.260","2.020","0.252","5.512","0.476","0.173","1157.480","0.004370079","2047.244094","4.05511811","342.519685","4.68503937","0.137795276","0.019685039","0.149606299","0.602362205","2.377952756","2.700787402","4.251968504","3.559055118","1.543307087","1.149606299","2.62992126","2.019685039","3.019685039","2.972440945","39.37"
2,"kelp, fresh","1.84","233.696","9.13","3.043","35.924","44.946","7.065","913.043","15.489","81.6","228.261","483.696","1266.304","6.685","0.707","103.261","0.004","0.272","0.815","2.554","3.489","0.011","0.978","69.565","0.0","630.4347826","4.72826087","0.0","0.108695652","0.02173913","0.02173913","0.0","0.260869565","0.298913043","0.413043478","0.451086957","0.445652174","0.135869565","0.532608696","0.233695652","0.141304348","0.391304348","0.35326087","657.609"
3,"cod liver oil","10","902","0","100","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100000","0.000","10000","0.935","0.935","6.9","11","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0"
4,"fish oil","10","902","0","100","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","0","0","1.54","1.06","13","18.2","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0"
5,"wheatgerm oil","20","884","0","100","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","149","0","54.8","6.9","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0"
6,"yeast","18.984","342.394","42.562","8.017","5.952","15.065","28.34","31.606","2.286","5.08","671.091","1006.110","53.729","8.365","0.459","0.000","0.008","11.589","4.214","42.351","14.223","1.580","2.465","33.713","0.0000737","0","0","0","0.01791","0.000","0.000","0.000","0.5689","2.09650232","1.991150442","3.076274758","3.455541509","0.621576064","0.526759376","1.843657817","1.19047619","2.433628319","2.138643068","56.89"
7,"eggshells","18","0","3.932","0.351","94.895","0","0","34222.668","22.066","0","401.204","300.903","501.505","1.003","1.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","290.873"
8,"salt","0.998","0","0","0","100","0","0","24.048","0","0.2","0","8.016","38877.756","0.100","0.030","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.002"
9,"bone meal","10","0","0","0","100","0","0","30000","0","0","12000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","286"
10,"blood meal","0","328.694","93.897","2.034","3.319","0","0","331.906","220.557","0","224.839","385.439","386.510","2.463","1.178","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214.133"
